name,class,Log 2 Fol-Change
ENST00000446717.5,Nuclear,3.597292962
ENST00000603052.1,Nuclear,4.818577255
ENST00000608561.1,Nuclear,2.911444042
ENST00000627496.2,Nuclear,5.309698204
ENST00000423499.3,Nuclear,3.166345483
ENST00000518605.1,Nuclear,3.45216817
ENST00000618230.1,Nuclear,3.247522759
ENST00000569267.1,Nuclear,4.3632307
ENST00000425991.1,Nuclear,3.851433517
ENST00000637153.1,Nuclear,2.853663844
ENST00000612804.1,Nuclear,4.62564671
ENST00000602607.1,Nuclear,3.399598076
ENST00000518662.5,Nuclear,2.81705055
ENST00000539532.1,Nuclear,3.766878436
ENST00000625058.1,Nuclear,2.936282127
ENST00000566291.1,Nuclear,3.506170656
ENST00000623350.1,Nuclear,2.812317056
ENST00000605044.1,Nuclear,2.998178543
ENST00000416758.5,Nuclear,2.995196028
ENST00000414116.1,Nuclear,2.893474979
ENST00000624834.1,Nuclear,3.800473135
ENST00000552558.1,Nuclear,4.397314441
ENST00000626977.1,Nuclear,3.247072736
ENST00000591892.2,Nuclear,3.495729238
ENST00000439319.5,Nuclear,3.021194009
ENST00000604397.5,Nuclear,3.419258105
ENST00000617759.1,Nuclear,3.600315022
ENST00000429065.2,Nuclear,3.341301742
ENST00000429464.1,Nuclear,3.450705575
ENST00000591368.5,Nuclear,5.431292352
ENST00000413311.1,Nuclear,2.955875918
ENST00000529488.5,Nuclear,4.053470696
ENST00000613780.4,Nuclear,2.966276132
ENST00000623284.1,Nuclear,3.119689271
ENST00000542291.1,Nuclear,2.803954367
ENST00000514884.1,Nuclear,3.520074131
ENST00000413094.1,Nuclear,3.502344892
ENST00000428716.2,Nuclear,4.614259885
ENST00000463474.6,Nuclear,3.541499577
ENST00000602316.1,Nuclear,3.562459413
ENST00000609651.5,Nuclear,4.821606458
ENST00000623965.1,Nuclear,3.78560851
ENST00000568970.1,Nuclear,4.626101915
ENST00000552046.1,Nuclear,4.768360515
ENST00000582654.1,Nuclear,5.704678985
ENST00000540868.1,Nuclear,3.98376388
ENST00000509080.5,Nuclear,3.395864592
ENST00000587592.5,Nuclear,4.323759574
ENST00000514304.1,Nuclear,4.200622953
ENST00000592217.2,Nuclear,2.929232001
ENST00000568764.1,Nuclear,4.054195838
ENST00000426089.1,Nuclear,2.864639217
ENST00000510371.5,Nuclear,3.195137486
ENST00000433082.6,Nuclear,2.933395186
ENST00000366189.3,Nuclear,3.001566307
ENST00000578035.1,Nuclear,3.846333985
ENST00000623747.1,Nuclear,3.459658322
ENST00000457876.5,Nuclear,5.006395021
ENST00000572256.1,Nuclear,3.015100417
ENST00000604514.1,Nuclear,3.027445496
ENST00000623220.1,Nuclear,4.77949441
ENST00000555103.1,Nuclear,4.27729027
ENST00000626933.1,Nuclear,3.774915114
ENST00000563557.1,Nuclear,3.505076451
ENST00000434938.7,Nuclear,4.453832749
ENST00000610002.4,Nuclear,5.124745465
ENST00000467082.2,Nuclear,3.60300311
ENST00000513892.2,Nuclear,3.780814539
ENST00000455929.1,Nuclear,3.842012811
ENST00000559379.5,Nuclear,2.836065865
ENST00000565064.1,Nuclear,3.287976925
ENST00000526470.1,Nuclear,2.82954576
ENST00000624429.1,Nuclear,4.597017062
ENST00000624804.1,Nuclear,4.362646727
ENST00000611449.1,Nuclear,3.358141447
ENST00000599190.1,Nuclear,3.923154359
ENST00000423023.2,Nuclear,3.339514487
