name,class,Log 2 Fol-Change,transcript_length,GC_content (%),sense,chromosomE
ENST00000642102.1,Nuclear,4.914269021,1351,0.348630644,lincRNA,chromosome_name8
ENST00000642088.1,Nuclear,3.520057508,2091,0.410808226,,chromosome_name8
ENST00000642083.1,Nuclear,2.929425429,4132,0.462245886,,chromosome_name8
ENST00000642082.1,Nuclear,4.272878049,1545,0.406472492,,chromosome_name8
ENST00000642076.1,Nuclear,2.818341544,165,0.484848485,lincRNA,chromosome_name8
ENST00000642059.1,Nuclear,3.742988916,1811,0.446162341,antisense,chromosome_name4
ENST00000642031.1,Nuclear,2.989621116,997,0.382146439,lincRNA,chromosome_name1
ENST00000642018.1,Nuclear,4.640950893,970,0.426804124,lincRNA,chromosome_name8
ENST00000641999.1,Nuclear,3.53175734,482,0.5,lincRNA,chromosome_name16
ENST00000641968.1,Nuclear,5.27756774,842,0.409738717,lincRNA,chromosome_name8
ENST00000641965.1,Nuclear,5.112669731,2329,0.399742379,,chromosome_name8
ENST00000641961.1,Nuclear,3.252605766,1697,0.453741897,antisense,chromosome_name5
ENST00000641953.1,Nuclear,6.475876376,571,0.444833625,lincRNA,chromosome_name8
ENST00000641944.1,Nuclear,4.273095586,1117,0.379588183,lincRNA,chromosome_name8
ENST00000641940.1,Nuclear,3.160147208,839,0.511323004,lincRNA,chromosome_name1
ENST00000641934.1,Nuclear,4.520869004,1050,0.398095238,lincRNA,chromosome_name8
ENST00000641922.1,Nuclear,3.60292124,511,0.483365949,sense,chromosome_name6
ENST00000641919.1,Nuclear,4.425142465,1172,0.377133106,,chromosome_name8
ENST00000641910.1,Nuclear,2.954113894,848,0.471698113,sense,chromosome_name12
ENST00000641894.1,Nuclear,3.724615276,765,0.367320261,lincRNA,chromosome_name16
ENST00000641877.1,Nuclear,4.6455766,2655,0.523917137,,chromosome_name17
ENST00000641872.1,Nuclear,3.871260138,1680,0.427380952,lincRNA,chromosome_name16
ENST00000641867.1,Nuclear,7.189699671,866,0.433025404,lincRNA,chromosome_name8
ENST00000641860.1,Nuclear,4.152606302,2210,0.498642534,lincRNA,chromosome_name1
ENST00000641859.1,Nuclear,3.148797804,2474,0.508084074,antisense,chromosome_name22
ENST00000641853.1,Nuclear,5.088250339,1638,0.418192918,lincRNA,chromosome_name8
ENST00000641825.1,Nuclear,3.041866042,356,0.45505618,lincRNA,chromosome_name8
ENST00000641806.1,Nuclear,4.044790458,335,0.48358209,,chromosome_name2
ENST00000641765.1,Nuclear,5.079151752,509,0.481335953,lincRNA,chromosome_name16
ENST00000641757.1,Nuclear,3.347489344,987,0.470111449,lincRNA,chromosome_name1
ENST00000641752.1,Nuclear,3.577131314,279,0.458781362,lincRNA,chromosome_name1
ENST00000641734.1,Nuclear,3.19570855,1192,0.503355705,,chromosome_name1
ENST00000641702.1,Nuclear,3.703610778,1953,0.541218638,lincRNA,chromosome_name1
ENST00000641696.1,Nuclear,2.895461729,886,0.453724605,lincRNA,chromosome_name8
ENST00000641676.1,Nuclear,5.36626866,1368,0.369883041,antisense,chromosome_name4
ENST00000641648.1,Nuclear,3.653190639,1207,0.406793703,lincRNA,chromosome_name3
