name,class,Log 2 Fol-Change,transcript_length,GC_content (%),sense,chromosomE
ENST00000642138.1,Cytosol,-0.147715526,673,0.531946508,lincRNA,chromosome_name1
ENST00000642115.2,Cytosol,-0.381503067,2962,0.423024983,lincRNA,chromosome_name5
ENST00000642102.1,Nuclear,4.914269021,1351,0.348630644,lincRNA,chromosome_name8
ENST00000642076.1,Nuclear,2.818341544,165,0.484848485,lincRNA,chromosome_name8
ENST00000642031.1,Nuclear,2.989621116,997,0.382146439,lincRNA,chromosome_name1
ENST00000642018.1,Nuclear,4.640950893,970,0.426804124,lincRNA,chromosome_name8
ENST00000641999.1,Nuclear,3.53175734,482,0.5,lincRNA,chromosome_name16
ENST00000641990.1,Cytosol,-2.230699224,570,0.447368421,lincRNA,chromosome_name16
ENST00000641979.1,Cytosol,-0.431418521,742,0.532345013,lincRNA,chromosome_name1
ENST00000641968.1,Nuclear,5.27756774,842,0.409738717,lincRNA,chromosome_name8
ENST00000641953.1,Nuclear,6.475876376,571,0.444833625,lincRNA,chromosome_name8
ENST00000641944.1,Nuclear,4.273095586,1117,0.379588183,lincRNA,chromosome_name8
ENST00000641940.1,Nuclear,3.160147208,839,0.511323004,lincRNA,chromosome_name1
ENST00000641934.1,Nuclear,4.520869004,1050,0.398095238,lincRNA,chromosome_name8
ENST00000641923.1,Cytosol,-3.87604529,1213,0.409727947,lincRNA,chromosome_name3
ENST00000641894.1,Nuclear,3.724615276,765,0.367320261,lincRNA,chromosome_name16
ENST00000641880.1,Cytosol,-1.418520683,1404,0.425213675,lincRNA,chromosome_name8
ENST00000641872.1,Nuclear,3.871260138,1680,0.427380952,lincRNA,chromosome_name16
ENST00000641867.1,Nuclear,7.189699671,866,0.433025404,lincRNA,chromosome_name8
ENST00000641860.1,Nuclear,4.152606302,2210,0.498642534,lincRNA,chromosome_name1
ENST00000641853.1,Nuclear,5.088250339,1638,0.418192918,lincRNA,chromosome_name8
ENST00000641825.1,Nuclear,3.041866042,356,0.45505618,lincRNA,chromosome_name8
ENST00000641765.1,Nuclear,5.079151752,509,0.481335953,lincRNA,chromosome_name16
ENST00000641757.1,Nuclear,3.347489344,987,0.470111449,lincRNA,chromosome_name1
ENST00000641752.1,Nuclear,3.577131314,279,0.458781362,lincRNA,chromosome_name1
ENST00000641715.1,Cytosol,-0.423223501,1546,0.416558862,lincRNA,chromosome_name3
ENST00000641708.1,Cytosol,-1.711083827,1184,0.516891892,lincRNA,chromosome_name10
