name,x,class,Log 2 Fol-Change,transcript_length,GC_content (%),sense,chromosomE
ENST00000642059.1,ENST00000642059.1,Nuclear,3.742988916,1811,0.446162341,antisense,chromosome_name4
ENST00000641961.1,ENST00000641961.1,Nuclear,3.252605766,1697,0.453741897,antisense,chromosome_name5
ENST00000641859.1,ENST00000641859.1,Nuclear,3.148797804,2474,0.508084074,antisense,chromosome_name22
ENST00000641676.1,ENST00000641676.1,Nuclear,5.36626866,1368,0.369883041,antisense,chromosome_name4
ENST00000641556.1,ENST00000641556.1,Nuclear,4.268444194,1292,0.431888545,antisense,chromosome_name4
ENST00000641150.1,ENST00000641150.1,Nuclear,3.283634242,633,0.466034755,antisense,chromosome_name5
ENST00000641099.1,ENST00000641099.1,Nuclear,2.845931642,1602,0.41011236,antisense,chromosome_name1
ENST00000640078.1,ENST00000640078.1,Cytosol,-0.148061451,3465,0.399422799,antisense,chromosome_name2
ENST00000639766.1,ENST00000639766.1,Cytosol,-0.571551769,2238,0.604557641,antisense,chromosome_name13
ENST00000639552.1,ENST00000639552.1,Nuclear,3.74208216,542,0.350553506,antisense,chromosome_name5
ENST00000639380.1,ENST00000639380.1,Nuclear,2.868457204,578,0.557093426,antisense,chromosome_name7
ENST00000638924.1,ENST00000638924.1,Cytosol,-7.879038346,1588,0.573677582,antisense,chromosome_name8
ENST00000638356.1,ENST00000638356.1,Cytosol,-1.695610978,494,0.489878543,antisense,chromosome_name19
ENST00000638138.1,ENST00000638138.1,Cytosol,-0.28602907,904,0.484513274,antisense,chromosome_name6
ENST00000638100.1,ENST00000638100.1,Cytosol,-1.4551689,298,0.473154362,antisense,chromosome_name12
ENST00000638002.1,ENST00000638002.1,Nuclear,3.689088487,1565,0.581469649,antisense,chromosome_name1
ENST00000637958.1,ENST00000637958.1,Cytosol,-1.035733837,562,0.496441281,antisense,chromosome_name12
ENST00000637901.1,ENST00000637901.1,Cytosol,-0.223847597,1780,0.466292135,antisense,chromosome_name6
ENST00000637595.1,ENST00000637595.1,Nuclear,3.333266299,1886,0.45281018,antisense,chromosome_name5
ENST00000637153.1,ENST00000637153.1,Nuclear,2.853663844,3585,0.416736402,antisense,chromosome_name5
ENST00000636819.1,ENST00000636819.1,Nuclear,3.628210205,4154,0.407799711,antisense,chromosome_name5
ENST00000636210.1,ENST00000636210.1,Nuclear,2.883431922,1973,0.397871262,antisense,chromosome_name3
ENST00000635993.1,ENST00000635993.1,Cytosol,-2.017250761,1768,0.518665158,antisense,chromosome_name10
ENST00000635847.1,ENST00000635847.1,Cytosol,-1.062223598,738,0.425474255,antisense,chromosome_name3
ENST00000635678.1,ENST00000635678.1,Nuclear,2.865286112,1602,0.440699126,antisense,chromosome_name9
ENST00000635495.1,ENST00000635495.1,Nuclear,4.658785904,1833,0.424986361,antisense,chromosome_name19
ENST00000635215.1,ENST00000635215.1,Nuclear,2.887432352,2884,0.471914008,antisense,chromosome_name17
ENST00000635064.1,ENST00000635064.1,Cytosol,-4.268291875,248,0.495967742,antisense,chromosome_name2
ENST00000634676.1,ENST00000634676.1,Cytosol,-1.538113325,2413,0.488188976,antisense,chromosome_name19
